col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,eval
9,10,11,10,10,9,11,7,5,0,18.14
9,10,11,10,12,11,11,7,5,0,8.41
9,10,11,13,13,11,11,7,5,0,-7.04
9,10,11,13,13,11,11,8,8,0,1.31
9,10,11,13,13,11,11,11,9,0,2.18
12,11,11,13,13,11,11,11,9,0,9.92
8,7,7,9,9,7,7,7,5,0,27.41
8,8,10,9,9,7,7,7,5,0,19.76
10,10,10,9,9,7,7,7,5,0,29.12
10,10,10,9,9,7,7,8,8,0,39.16
10,10,11,11,10,7,7,8,8,0,29.09
10,10,11,12,13,7,7,8,8,0,17.28
6,6,7,8,9,3,3,4,4,0,19.1
6,6,10,9,9,3,3,4,4,0,6.61
8,8,10,9,9,3,3,4,4,0,15.9
8,8,10,9,9,6,4,4,4,0,24.07
4,4,6,5,5,2,0,0,0,0,17.37
4,4,6,5,5,2,0,1,3,0,17.35
4,4,6,5,5,2,2,3,3,0,23.53
4,4,6,5,5,6,2,3,3,0,22.8
5,7,6,5,5,6,2,3,3,0,18.67
5,7,6,7,7,6,2,3,3,0,10.28
8,8,6,7,7,6,2,3,3,0,16.16
8,8,8,9,7,6,2,3,3,0,17.22
8,8,8,9,7,6,4,4,4,0,33.2
8,8,8,9,9,8,4,4,4,0,28.85
8,8,8,9,9,8,7,5,4,0,33.34
8,8,8,9,9,8,7,7,6,0,37.63
8,8,8,9,9,8,7,8,9,0,34.27
8,8,8,9,9,8,9,10,9,0,33.79
10,10,8,9,9,8,9,10,9,0,32.35
10,10,8,9,10,10,10,10,9,0,34.64
10,10,8,9,10,10,10,12,11,0,7.2
12,12,8,9,10,10,10,12,11,0,3.8
8,8,4,5,6,6,6,8,7,0,29.44
8,8,4,5,8,7,7,8,7,0,25.61
8,8,6,7,8,7,7,8,7,0,36.95
8,8,9,8,8,7,7,8,7,0,39.03
9,10,10,8,8,7,7,8,7,0,36.35
5,6,6,4,4,3,3,4,3,0,28.28
5,6,6,4,4,3,3,6,5,0,23.24
5,6,6,4,4,5,5,6,5,0,33.93
5,6,6,5,7,5,5,6,5,0,31.18
7,8,6,5,7,5,5,6,5,0,29.58
7,8,6,5,7,7,7,6,5,0,27.96
7,8,6,5,8,8,9,6,5,0,10.87
3,4,2,1,4,4,5,2,1,0,3.78
3,4,3,4,4,4,5,2,1,0,14.66
3,4,5,6,4,4,5,2,1,0,13.13
3,4,5,6,4,4,5,4,3,0,16.87
5,6,5,6,4,4,5,4,3,0,17.45
5,6,5,6,4,4,5,5,6,0,30.52
5,6,5,6,5,6,6,5,6,0,21.22
5,6,5,8,7,6,6,5,6,0,18.13
5,6,5,8,7,6,6,7,8,0,15.48
5,6,5,8,8,8,7,7,8,0,13.95
5,6,5,8,8,8,10,8,8,0,1.95
5,7,8,8,8,8,10,8,8,0,6.99
1,3,4,7,8,8,8,8,7,0,-16.04
1,3,4,10,9,8,8,8,7,0,-24.56
1,3,4,10,9,8,8,8,8,8,-63.69
1,3,4,10,9,9,9,10,8,8,-90.56
1,3,4,10,9,11,11,10,8,8,-177.53
5,3,4,10,9,11,11,10,8,8,-56.81
5,5,6,10,9,11,11,10,8,8,-40.14
6,6,5,9,8,10,10,9,7,7,-22.53
5,6,7,8,7,9,9,8,6,6,-1.37
5,6,7,8,7,9,9,9,9,6,-5.53
7,6,6,7,6,8,8,8,8,0,35.36
7,6,6,7,9,9,8,8,8,0,35.43
7,7,8,8,9,9,8,8,8,0,37.85
10,8,8,8,9,9,8,8,8,0,43.62
10,8,8,8,9,10,10,9,8,0,39.43
10,8,8,8,9,10,10,10,11,0,21.52
10,8,9,10,10,10,10,10,11,0,16.64
10,8,9,10,10,12,11,11,11,0,5.39
10,8,9,12,12,12,11,11,11,0,-0.85
10,10,11,12,12,12,11,11,11,0,5.57
10,10,11,12,12,12,13,12,12,0,-26.13
13,11,11,12,12,12,13,12,12,0,-21.34
13,11,11,13,14,13,13,12,12,0,-41.7
9,7,7,9,10,9,9,8,8,0,30.83
9,7,7,9,12,11,9,8,8,0,17.49
9,7,7,9,12,11,11,10,8,0,19.12
9,7,7,9,13,13,12,10,8,0,2.41
9,8,10,9,13,13,12,10,8,0,-11.75
10,11,10,9,13,13,12,10,8,0,-11.25
6,7,6,5,9,9,8,6,4,0,13.41
6,7,8,7,9,9,8,6,4,0,22.03
6,7,8,7,10,10,10,6,4,0,10.38
9,8,8,7,10,10,10,6,4,0,19.57
9,8,8,7,10,10,10,7,7,0,32.81
10,10,9,7,10,10,10,7,7,0,13.24
10,10,9,7,10,10,10,9,9,0,20.36
10,10,9,7,10,10,10,10,11,10,-23.78
9,9,9,9,9,9,9,9,10,0,35.1
11,12,12,9,9,9,9,9,10,0,31.07
13,13,13,9,9,9,9,9,10,0,26.3
13,13,13,9,9,9,9,11,12,0,-23.37
13,13,13,9,10,11,10,11,12,0,-31.33
13,13,13,11,12,11,10,11,12,0,-28.25
0,0,0,0,0,0,0,0,0,0,19.2
4,4,1,2,2,2,1,0,0,0,30.28
4,4,1,2,2,2,1,2,2,0,29.91
4,4,3,4,2,2,1,2,2,0,29.77
4,4,3,4,6,2,1,2,2,0,29.02
4,4,3,4,6,2,3,3,3,0,28.3
4,4,3,4,6,6,3,3,3,0,28.1
4,6,5,4,6,6,3,3,3,0,15.9
8,6,5,4,6,6,3,3,3,0,22.88
